"SectionAbb","year","median","Section.name"
"Public",2019,6.7,"Public administration and defence; compulsory social security"
"Public",2020,6.2,"Public administration and defence; compulsory social security"
"Public",2021,6.7,"Public administration and defence; compulsory social security"
"Public",2022,5.5,"Public administration and defence; compulsory social security"
"Real Estate",2018,11,"Real estate activities"
"Real Estate",2019,10.8,"Real estate activities"
"Real Estate",2020,11.2,"Real estate activities"
"Real Estate",2021,11,"Real estate activities"
"Real Estate",2022,14,"Real estate activities"
"Science",2018,14.3,"Professional, scientific and technical activities"
"Science",2019,17.2,"Professional, scientific and technical activities"
"Science",2020,16.4,"Professional, scientific and technical activities"
"Science",2021,15.3,"Professional, scientific and technical activities"
"Science",2022,15.8,"Professional, scientific and technical activities"
"Service",2018,9.3,"Other service activities"
"Service",2019,11.9,"Other service activities"
"Service",2020,9.2,"Other service activities"
"Service",2021,9.1,"Other service activities"
"Service",2022,7.85,"Other service activities"
"Transportation",2018,8.1,"Transportation and storage"
"Transportation",2019,5.4,"Transportation and storage"
"Transportation",2020,5.3,"Transportation and storage"
"Transportation",2021,5.7,"Transportation and storage"
"Transportation",2022,5.4,"Transportation and storage"
"Water",2018,11.05,"Water supply; sewerage, waste management and remediation activities"
"Water",2019,8.5,"Water supply; sewerage, waste management and remediation activities"
"Water",2020,8.525,"Water supply; sewerage, waste management and remediation activities"
"Water",2021,9.15,"Water supply; sewerage, waste management and remediation activities"
"Water",2022,4.75,"Water supply; sewerage, waste management and remediation activities"
"Wholesale, retail",2018,6.6,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
"Wholesale, retail",2019,6.1,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
"Wholesale, retail",2020,6.6,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
"Wholesale, retail",2021,6,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
"Wholesale, retail",2022,5.4,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
