"SIC.4","year","median","Section","Section.name","SIC2dg1","Division.name","Group","Group.name","Class.name","SectionAbb"
119,2018,9.9,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops","Growing of other non-perennial crops","Agriculture"
119,2019,11.4,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops","Growing of other non-perennial crops","Agriculture"
119,2020,6.9,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops","Growing of other non-perennial crops","Agriculture"
119,2021,8.9,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops","Growing of other non-perennial crops","Agriculture"
119,2022,6.8,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops","Growing of other non-perennial crops","Agriculture"
124,2019,20.7,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops","Growing of pome fruits and stone fruits","Agriculture"
124,2020,20.3,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops","Growing of pome fruits and stone fruits","Agriculture"
124,2021,16.9,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops","Growing of pome fruits and stone fruits","Agriculture"
124,2022,0,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops","Growing of pome fruits and stone fruits","Agriculture"
125,2018,-1.5,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops","Growing of other tree and bush fruits and nuts","Agriculture"
125,2019,0,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops","Growing of other tree and bush fruits and nuts","Agriculture"
125,2020,0,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops","Growing of other tree and bush fruits and nuts","Agriculture"
125,2021,0,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops","Growing of other tree and bush fruits and nuts","Agriculture"
125,2022,0,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops","Growing of other tree and bush fruits and nuts","Agriculture"
129,2018,-1.8,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops","Growing of other perennial crops","Agriculture"
129,2019,0,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops","Growing of other perennial crops","Agriculture"
129,2020,0,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops","Growing of other perennial crops","Agriculture"
129,2021,-0.3,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops","Growing of other perennial crops","Agriculture"
129,2022,0.9,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops","Growing of other perennial crops","Agriculture"
130,2018,6,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",13,"Plant propagation","Plant propagation","Agriculture"
130,2019,5,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",13,"Plant propagation","Plant propagation","Agriculture"
130,2020,0,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",13,"Plant propagation","Plant propagation","Agriculture"
130,2021,7.8,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",13,"Plant propagation","Plant propagation","Agriculture"
130,2022,10,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",13,"Plant propagation","Plant propagation","Agriculture"
141,2018,5.1,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of dairy cattle","Agriculture"
141,2019,13.5,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of dairy cattle","Agriculture"
141,2021,7.5,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of dairy cattle","Agriculture"
141,2022,11.2,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of dairy cattle","Agriculture"
143,2018,0,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of horses and other equines","Agriculture"
143,2019,1.8,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of horses and other equines","Agriculture"
143,2020,-0.2,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of horses and other equines","Agriculture"
143,2021,0,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of horses and other equines","Agriculture"
143,2022,0,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of horses and other equines","Agriculture"
145,2018,12.8,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of sheep and goats","Agriculture"
145,2019,14,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of sheep and goats","Agriculture"
145,2020,9.9,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of sheep and goats","Agriculture"
145,2021,9.9,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of sheep and goats","Agriculture"
145,2022,9.5,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of sheep and goats","Agriculture"
147,2018,8.5,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of poultry","Agriculture"
147,2019,8,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of poultry","Agriculture"
147,2020,4,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of poultry","Agriculture"
147,2021,12,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of poultry","Agriculture"
147,2022,12,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production","Raising of poultry","Agriculture"
150,2018,3.8,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",15,"Mixed farming","Mixed farming","Agriculture"
150,2019,6.4,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",15,"Mixed farming","Mixed farming","Agriculture"
150,2020,4.4,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",15,"Mixed farming","Mixed farming","Agriculture"
150,2021,3.8,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",15,"Mixed farming","Mixed farming","Agriculture"
150,2022,4.8,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",15,"Mixed farming","Mixed farming","Agriculture"
161,2018,27.3,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Support activities for crop production","Agriculture"
161,2019,21.9,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Support activities for crop production","Agriculture"
161,2020,19.2,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Support activities for crop production","Agriculture"
161,2021,20.2,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Support activities for crop production","Agriculture"
161,2022,22,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Support activities for crop production","Agriculture"
162,2018,27.3,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Support activities for animal production","Agriculture"
162,2019,2.4,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Support activities for animal production","Agriculture"
162,2020,19.2,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Support activities for animal production","Agriculture"
162,2021,20.2,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Support activities for animal production","Agriculture"
162,2022,17.8,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Support activities for animal production","Agriculture"
163,2018,13.6,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Post-harvest crop activities","Agriculture"
163,2019,6.8,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Post-harvest crop activities","Agriculture"
163,2020,19.2,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Post-harvest crop activities","Agriculture"
163,2021,9.5,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Post-harvest crop activities","Agriculture"
163,2022,0.2,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Post-harvest crop activities","Agriculture"
164,2020,6.7,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Seed processing for propagation","Agriculture"
164,2022,5.6,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",16,"Support activities to agriculture and post-harvest crop activities","Seed processing for propagation","Agriculture"
210,2018,13.1,"A","Agriculture, forestry and fishing",2,"Forestry and logging",21,"Silviculture and other forestry activities","Silviculture and other forestry activities","Agriculture"
210,2019,11.2,"A","Agriculture, forestry and fishing",2,"Forestry and logging",21,"Silviculture and other forestry activities","Silviculture and other forestry activities","Agriculture"
210,2021,11.3,"A","Agriculture, forestry and fishing",2,"Forestry and logging",21,"Silviculture and other forestry activities","Silviculture and other forestry activities","Agriculture"
210,2022,7.6,"A","Agriculture, forestry and fishing",2,"Forestry and logging",21,"Silviculture and other forestry activities","Silviculture and other forestry activities","Agriculture"
321,2018,-3,"A","Agriculture, forestry and fishing",3,"Fishing and aquaculture",32,"Aquaculture","Marine aquaculture","Agriculture"
321,2019,-1.3,"A","Agriculture, forestry and fishing",3,"Fishing and aquaculture",32,"Aquaculture","Marine aquaculture","Agriculture"
321,2020,0.35,"A","Agriculture, forestry and fishing",3,"Fishing and aquaculture",32,"Aquaculture","Marine aquaculture","Agriculture"
321,2021,9,"A","Agriculture, forestry and fishing",3,"Fishing and aquaculture",32,"Aquaculture","Marine aquaculture","Agriculture"
321,2022,-2.6,"A","Agriculture, forestry and fishing",3,"Fishing and aquaculture",32,"Aquaculture","Marine aquaculture","Agriculture"
510,2018,22.9,"B","Mining and quarrying",5,"Mining of coal and lignite",51,"Mining of hard coal","Mining of hard coal","Mining"
510,2019,21.5,"B","Mining and quarrying",5,"Mining of coal and lignite",51,"Mining of hard coal","Mining of hard coal","Mining"
510,2020,27.1,"B","Mining and quarrying",5,"Mining of coal and lignite",51,"Mining of hard coal","Mining of hard coal","Mining"
510,2022,49.9,"B","Mining and quarrying",5,"Mining of coal and lignite",51,"Mining of hard coal","Mining of hard coal","Mining"
610,2018,20.45,"B","Mining and quarrying",6,"Extraction of crude petroleum and natural gas",61,"Extraction of crude petroleum","Extraction of crude petroleum","Mining"
610,2019,20.6,"B","Mining and quarrying",6,"Extraction of crude petroleum and natural gas",61,"Extraction of crude petroleum","Extraction of crude petroleum","Mining"
610,2020,17.1,"B","Mining and quarrying",6,"Extraction of crude petroleum and natural gas",61,"Extraction of crude petroleum","Extraction of crude petroleum","Mining"
610,2021,20.7,"B","Mining and quarrying",6,"Extraction of crude petroleum and natural gas",61,"Extraction of crude petroleum","Extraction of crude petroleum","Mining"
610,2022,18.3,"B","Mining and quarrying",6,"Extraction of crude petroleum and natural gas",61,"Extraction of crude petroleum","Extraction of crude petroleum","Mining"
620,2018,15.3,"B","Mining and quarrying",6,"Extraction of crude petroleum and natural gas",62,"Extraction of natural gas","Extraction of natural gas","Mining"
620,2019,33.9,"B","Mining and quarrying",6,"Extraction of crude petroleum and natural gas",62,"Extraction of natural gas","Extraction of natural gas","Mining"
620,2020,20.75,"B","Mining and quarrying",6,"Extraction of crude petroleum and natural gas",62,"Extraction of natural gas","Extraction of natural gas","Mining"
620,2021,35.45,"B","Mining and quarrying",6,"Extraction of crude petroleum and natural gas",62,"Extraction of natural gas","Extraction of natural gas","Mining"
620,2022,34,"B","Mining and quarrying",6,"Extraction of crude petroleum and natural gas",62,"Extraction of natural gas","Extraction of natural gas","Mining"
811,2018,13,"B","Mining and quarrying",8,"Other mining and quarrying",81,"Quarrying of stone, sand and clay","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate","Mining"
811,2019,8.5,"B","Mining and quarrying",8,"Other mining and quarrying",81,"Quarrying of stone, sand and clay","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate","Mining"
811,2020,10,"B","Mining and quarrying",8,"Other mining and quarrying",81,"Quarrying of stone, sand and clay","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate","Mining"
811,2021,20.8,"B","Mining and quarrying",8,"Other mining and quarrying",81,"Quarrying of stone, sand and clay","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate","Mining"
811,2022,16.35,"B","Mining and quarrying",8,"Other mining and quarrying",81,"Quarrying of stone, sand and clay","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate","Mining"
812,2018,1.8,"B","Mining and quarrying",8,"Other mining and quarrying",81,"Quarrying of stone, sand and clay","Operation of gravel and sand pits; mining of clays and kaolin","Mining"
812,2019,1.9,"B","Mining and quarrying",8,"Other mining and quarrying",81,"Quarrying of stone, sand and clay","Operation of gravel and sand pits; mining of clays and kaolin","Mining"
812,2020,3.2,"B","Mining and quarrying",8,"Other mining and quarrying",81,"Quarrying of stone, sand and clay","Operation of gravel and sand pits; mining of clays and kaolin","Mining"
812,2021,17,"B","Mining and quarrying",8,"Other mining and quarrying",81,"Quarrying of stone, sand and clay","Operation of gravel and sand pits; mining of clays and kaolin","Mining"
812,2022,1.6,"B","Mining and quarrying",8,"Other mining and quarrying",81,"Quarrying of stone, sand and clay","Operation of gravel and sand pits; mining of clays and kaolin","Mining"
891,2018,31,"B","Mining and quarrying",8,"Other mining and quarrying",89,"Mining and quarrying n.e.c.","Mining of chemical and fertiliser minerals","Mining"
891,2019,35.8,"B","Mining and quarrying",8,"Other mining and quarrying",89,"Mining and quarrying n.e.c.","Mining of chemical and fertiliser minerals","Mining"
891,2021,16.3,"B","Mining and quarrying",8,"Other mining and quarrying",89,"Mining and quarrying n.e.c.","Mining of chemical and fertiliser minerals","Mining"
891,2022,17.4,"B","Mining and quarrying",8,"Other mining and quarrying",89,"Mining and quarrying n.e.c.","Mining of chemical and fertiliser minerals","Mining"
899,2018,13,"B","Mining and quarrying",8,"Other mining and quarrying",89,"Mining and quarrying n.e.c.","Other mining and quarrying n.e.c.","Mining"
899,2019,18.2,"B","Mining and quarrying",8,"Other mining and quarrying",89,"Mining and quarrying n.e.c.","Other mining and quarrying n.e.c.","Mining"
899,2021,20.8,"B","Mining and quarrying",8,"Other mining and quarrying",89,"Mining and quarrying n.e.c.","Other mining and quarrying n.e.c.","Mining"
899,2022,21.3,"B","Mining and quarrying",8,"Other mining and quarrying",89,"Mining and quarrying n.e.c.","Other mining and quarrying n.e.c.","Mining"
910,2018,28,"B","Mining and quarrying",9,"Mining support service activities",91,"Support activities for petroleum and natural gas extraction","Support activities for petroleum and natural gas extraction","Mining"
910,2019,26.4,"B","Mining and quarrying",9,"Mining support service activities",91,"Support activities for petroleum and natural gas extraction","Support activities for petroleum and natural gas extraction","Mining"
910,2020,33.05,"B","Mining and quarrying",9,"Mining support service activities",91,"Support activities for petroleum and natural gas extraction","Support activities for petroleum and natural gas extraction","Mining"
910,2021,32,"B","Mining and quarrying",9,"Mining support service activities",91,"Support activities for petroleum and natural gas extraction","Support activities for petroleum and natural gas extraction","Mining"
910,2022,29,"B","Mining and quarrying",9,"Mining support service activities",91,"Support activities for petroleum and natural gas extraction","Support activities for petroleum and natural gas extraction","Mining"
990,2019,3.6,"B","Mining and quarrying",9,"Mining support service activities",99,"Support activities for other mining and quarrying","Support activities for other mining and quarrying","Mining"
990,2020,-2.3,"B","Mining and quarrying",9,"Mining support service activities",99,"Support activities for other mining and quarrying","Support activities for other mining and quarrying","Mining"
990,2022,3.4,"B","Mining and quarrying",9,"Mining support service activities",99,"Support activities for other mining and quarrying","Support activities for other mining and quarrying","Mining"
1011,2018,9.4,"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products","Processing and preserving of meat","Manufacturing"
1011,2019,11.45,"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products","Processing and preserving of meat","Manufacturing"
1011,2020,8,"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products","Processing and preserving of meat","Manufacturing"
1011,2021,10,"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products","Processing and preserving of meat","Manufacturing"
1011,2022,5,"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products","Processing and preserving of meat","Manufacturing"
1012,2018,6.9,"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products","Processing and preserving of poultry meat","Manufacturing"
1012,2019,6.8,"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products","Processing and preserving of poultry meat","Manufacturing"
1012,2020,5.1,"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products","Processing and preserving of poultry meat","Manufacturing"
1012,2021,1.9,"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products","Processing and preserving of poultry meat","Manufacturing"
1012,2022,2.3,"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products","Processing and preserving of poultry meat","Manufacturing"
1013,2018,7.2,"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products","Production of meat and poultry meat products","Manufacturing"
1013,2019,6.1,"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products","Production of meat and poultry meat products","Manufacturing"
1013,2020,4.7,"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products","Production of meat and poultry meat products","Manufacturing"
1013,2021,4.6,"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products","Production of meat and poultry meat products","Manufacturing"
1013,2022,5.2,"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products","Production of meat and poultry meat products","Manufacturing"
1020,2018,1.9,"C","Manufacturing",10,"Manufacture of food products",102,"Processing and preserving of fish, crustaceans and molluscs","Processing and preserving of fish, crustaceans and molluscs","Manufacturing"
1020,2019,3.5,"C","Manufacturing",10,"Manufacture of food products",102,"Processing and preserving of fish, crustaceans and molluscs","Processing and preserving of fish, crustaceans and molluscs","Manufacturing"
1020,2020,4.15,"C","Manufacturing",10,"Manufacture of food products",102,"Processing and preserving of fish, crustaceans and molluscs","Processing and preserving of fish, crustaceans and molluscs","Manufacturing"
1020,2021,2.8,"C","Manufacturing",10,"Manufacture of food products",102,"Processing and preserving of fish, crustaceans and molluscs","Processing and preserving of fish, crustaceans and molluscs","Manufacturing"
1020,2022,5.9,"C","Manufacturing",10,"Manufacture of food products",102,"Processing and preserving of fish, crustaceans and molluscs","Processing and preserving of fish, crustaceans and molluscs","Manufacturing"
1031,2018,5.3,"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables","Processing and preserving of potatoes","Manufacturing"
1031,2019,8.2,"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables","Processing and preserving of potatoes","Manufacturing"
1031,2020,6.5,"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables","Processing and preserving of potatoes","Manufacturing"
1031,2021,3.7,"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables","Processing and preserving of potatoes","Manufacturing"
1031,2022,3.6,"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables","Processing and preserving of potatoes","Manufacturing"
1032,2018,9.1,"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables","Manufacture of fruit and vegetable juice","Manufacturing"
1032,2019,9.8,"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables","Manufacture of fruit and vegetable juice","Manufacturing"
1032,2020,5.5,"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables","Manufacture of fruit and vegetable juice","Manufacturing"
1032,2021,6.8,"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables","Manufacture of fruit and vegetable juice","Manufacturing"
1032,2022,8.4,"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables","Manufacture of fruit and vegetable juice","Manufacturing"
1039,2018,9.1,"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables","Other processing and preserving of fruit and vegetables","Manufacturing"
1039,2019,9.8,"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables","Other processing and preserving of fruit and vegetables","Manufacturing"
1039,2020,5.7,"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables","Other processing and preserving of fruit and vegetables","Manufacturing"
1039,2021,6.8,"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables","Other processing and preserving of fruit and vegetables","Manufacturing"
1039,2022,7.7,"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables","Other processing and preserving of fruit and vegetables","Manufacturing"
1041,2018,8.7,"C","Manufacturing",10,"Manufacture of food products",104,"Manufacture of vegetable and animal oils and fats","Manufacture of oils and fats","Manufacturing"
1041,2019,10,"C","Manufacturing",10,"Manufacture of food products",104,"Manufacture of vegetable and animal oils and fats","Manufacture of oils and fats","Manufacturing"
1041,2020,8,"C","Manufacturing",10,"Manufacture of food products",104,"Manufacture of vegetable and animal oils and fats","Manufacture of oils and fats","Manufacturing"
1041,2021,6.7,"C","Manufacturing",10,"Manufacture of food products",104,"Manufacture of vegetable and animal oils and fats","Manufacture of oils and fats","Manufacturing"
1041,2022,5,"C","Manufacturing",10,"Manufacture of food products",104,"Manufacture of vegetable and animal oils and fats","Manufacture of oils and fats","Manufacturing"
1042,2018,-4.3,"C","Manufacturing",10,"Manufacture of food products",104,"Manufacture of vegetable and animal oils and fats","Manufacture of margarine and similar edible fats","Manufacturing"
1042,2019,-2.1,"C","Manufacturing",10,"Manufacture of food products",104,"Manufacture of vegetable and animal oils and fats","Manufacture of margarine and similar edible fats","Manufacturing"
1042,2020,-2.7,"C","Manufacturing",10,"Manufacture of food products",104,"Manufacture of vegetable and animal oils and fats","Manufacture of margarine and similar edible fats","Manufacturing"
1042,2021,0.3,"C","Manufacturing",10,"Manufacture of food products",104,"Manufacture of vegetable and animal oils and fats","Manufacture of margarine and similar edible fats","Manufacturing"
1042,2022,2,"C","Manufacturing",10,"Manufacture of food products",104,"Manufacture of vegetable and animal oils and fats","Manufacture of margarine and similar edible fats","Manufacturing"
1051,2018,0.8,"C","Manufacturing",10,"Manufacture of food products",105,"Manufacture of dairy products","Operation of dairies and cheese making","Manufacturing"
1051,2019,0,"C","Manufacturing",10,"Manufacture of food products",105,"Manufacture of dairy products","Operation of dairies and cheese making","Manufacturing"
1051,2020,3,"C","Manufacturing",10,"Manufacture of food products",105,"Manufacture of dairy products","Operation of dairies and cheese making","Manufacturing"
1051,2021,4,"C","Manufacturing",10,"Manufacture of food products",105,"Manufacture of dairy products","Operation of dairies and cheese making","Manufacturing"
1051,2022,3.5,"C","Manufacturing",10,"Manufacture of food products",105,"Manufacture of dairy products","Operation of dairies and cheese making","Manufacturing"
1052,2018,0,"C","Manufacturing",10,"Manufacture of food products",105,"Manufacture of dairy products","Manufacture of ice cream","Manufacturing"
1052,2019,0,"C","Manufacturing",10,"Manufacture of food products",105,"Manufacture of dairy products","Manufacture of ice cream","Manufacturing"
1052,2020,7.3,"C","Manufacturing",10,"Manufacture of food products",105,"Manufacture of dairy products","Manufacture of ice cream","Manufacturing"
1052,2021,6.1,"C","Manufacturing",10,"Manufacture of food products",105,"Manufacture of dairy products","Manufacture of ice cream","Manufacturing"
1052,2022,4.9,"C","Manufacturing",10,"Manufacture of food products",105,"Manufacture of dairy products","Manufacture of ice cream","Manufacturing"
1061,2018,11.6,"C","Manufacturing",10,"Manufacture of food products",106,"Manufacture of grain mill products, starches and starch products","Manufacture of grain mill products","Manufacturing"
1061,2019,13,"C","Manufacturing",10,"Manufacture of food products",106,"Manufacture of grain mill products, starches and starch products","Manufacture of grain mill products","Manufacturing"
